NAME,COUNTRY,AR_SCORE,AR_RANK,ER_SCORE,ER_RANK,FSR_SCORE,FSR_RANK,CPF_SCORE,CPF_RANK,IFR_SCORE,IFR_RANK,ISR_SCORE,ISR_RANK,ISD_SCORE,ISD_RANK,IRN_SCORE,IRN_RANK,EO_SCORE,EO_RANK,SUS_SCORE,SUS_RANK
"Indian Institute of Technology Kharagpur (IITKGP)",India,42.5,278,78.6,109,10.6,801,97,55,,,1.3,801,5.7,801,70.1,528,47.7,365,77.8,201
"National Technical University of Athens",Greece,28.2,448,51.2,244,5.9,801,80.9,153,,,9.6,801,14.9,801,72,499,51.4,331,49.3,725
"University of Chinese Academy of Sciences (UCAS)","China (Mainland)",30.9,396,11.9,701,100,11,75.1,179,,,3.9,801,3.1,801,93.7,108,15.6,801,,
"Belarusian State University",Belarus,32.5,377,51.5,239,91.8,98,1.7,801,4.9,801,71.1,268,67.5,286,34.4,801,61.3,258,,
"Anna University",India,15,701,19.4,674,9.2,801,99.8,23,,,1.6,801,6,801,47.3,801,17.8,763,64.5,409
"Singapore University of Technology and Design",Singapore,11,701,11.3,701,99.3,41,71,208,,,,,,,35.2,801,5.3,801,25,801
"Universität Leipzig",Germany,31.5,391,14,701,85.3,132,13,801,,,24,673,18.1,795,82.7,298,15.9,801,57.2,557
"Jawaharlal Nehru University",India,39.8,303,17.4,701,16.7,801,37.6,497,,,1.7,801,6,801,56.9,737,20.6,716,59.3,514
"Savitribai Phule Pune University",India,11.1,701,20.3,647,47.1,420,63.8,257,,,3.3,801,7.5,801,54.7,773,30.4,547,43,801
"Universität Jena",Germany,23.4,540,10.4,701,100,21,12.7,801,,,34.1,548,25.5,679,91.1,154,4.9,801,53.2,641
"Christian-Albrechts-Universität zu Kiel",Germany,24.4,522,14.6,701,56.7,325,20.9,700,,,15.1,801,11.5,801,92.4,139,24.5,648,59.2,516
"Zhengzhou University","China (Mainland)",7.1,701,23.8,564,7,801,82.7,137,,,4.1,801,3.3,801,62.3,661,11.4,801,42.3,801
"University of Manitoba",Canada,19.2,643,20,657,31.8,604,22.6,675,,,68.4,287,71.5,257,70,532,39.5,442,55.7,582
"China University of Mining and Technology","China (Mainland)",4.3,701,6.4,701,25.5,727,87.2,114,,,,,,,55.5,761,16.3,801,39.2,801
"Jadavpur University",India,23.2,544,10.5,701,13.7,801,55.8,319,,,1.1,801,5.5,801,44,801,19.5,733,61.4,470
"Rensselaer Polytechnic Institute","United States of America",10.2,701,17.9,701,28.7,662,54.7,330,,,34.4,547,25.7,675,25.8,801,41.3,423,38.7,801
"Nanjing University of Science and Technology","China (Mainland)",7,701,8.5,701,14.6,801,86.1,117,,,,,,,38.2,801,6.4,801,39.4,801
"Technische Universität Braunschweig",Germany,14.4,701,21.9,604,69.9,232,9.7,801,,,50.9,405,38,515,66.1,608,19.3,738,47.4,776
"Pakistan Institute of Engineering and Applied Sciences (PIEAS)",Pakistan,7.4,701,15.1,701,62.8,281,66,241,,,,,,,19,801,3.8,801,10.4,801
"National Institute of Technology Tiruchirappalli",India,4.1,701,5.3,701,10.6,801,89.5,105,,,3.5,801,7.5,801,38.2,801,8.8,801,37.4,801
"Martin-Luther-Universität Halle-Wittenberg",Germany,15.1,701,9.9,701,89.4,106,11.2,801,,,17,781,12.9,801,86.5,230,6.3,801,47.1,785
"Bangladesh University of Engineering and Technology",Bangladesh,21.3,582,42.5,316,15.6,801,30.8,578,,,,,,,23,801,29.9,551,30,801
"Universidad de Palermo",Argentina,15.8,701,16,701,96,68,1.1,801,42,481,94.3,136,90,148,3.6,801,10.1,801,,
"Universidad de Antioquia",Colombia,39.7,304,24.1,557,5.9,801,7.1,801,4.9,801,,,,,55.7,753,26.7,612,45.5,801
"Norwegian University of Life Sciences (UMB)",Norway,8.2,701,8.2,701,100,15,13.4,801,,,,,,,77.7,390,25.5,630,50.8,688
"Northwest Agriculture and Forestry University","China (Mainland)",5.2,701,2.9,701,35,565,61.5,278,,,2,801,1.7,801,70.6,516,5.1,801,39,801
"University of Engineering & Technology (UET) Lahore",Pakistan,11.1,701,49.1,260,20.4,801,15.1,801,,,2.3,801,6.5,801,56.5,746,54.1,310,40.7,801
"University of Hyderabad",India,17.7,692,4.6,701,20.7,801,54.5,335,,,2.6,801,6.9,801,34,801,3.4,801,42.1,801
"Addis Ababa University",Ethiopia,7.8,701,12.1,701,65.3,267,2.5,801,,,,,,,63.8,636,96.9,62,41.7,801
"Belarusian National Technical University",Belarus,16.6,701,41.3,329,64.6,273,1,801,2.6,801,66.9,299,62,323,3.2,801,7.5,801,,
"Jiangnan University","China (Mainland)",5.8,701,4.7,701,15.6,801,65,248,,,,,,,58.3,716,1.2,801,30,801
"Universität Düsseldorf",Germany,16.2,701,11.4,701,60.4,298,11.5,801,,,30.6,584,23,720,68.5,558,4.9,801,36.9,801
"Universität Rostock",Germany,9.6,701,5,701,92.6,90,9.5,801,,,21.2,705,16,801,77.3,398,6.6,801,39.5,801
"Université de Franche-Comté",France,7.6,701,3.6,701,100,8,18.7,740,,,,,,,77.4,395,3.8,801,32,801
"University of Stavanger",Norway,10.4,701,11.2,701,83.2,151,10.9,801,,,,,,,72.2,496,12.9,801,45.2,801
"Panjab University",India,9.4,701,11.5,701,10.3,801,43.5,433,,,3.2,801,7.5,801,33,801,39.6,441,50.9,684
"Universidad Católica Andrés Bello - UCAB","Venezuela (Bolivarian Republic of)",33.6,362,56.4,210,7.4,801,1,801,5.5,801,5.3,801,9.2,801,,,22.6,677,,
"University of Peshawar",Pakistan,9.4,701,11.9,701,87.2,119,12.3,801,,,2,801,1.7,801,49,801,19.2,742,25.8,801
"University of South Africa","South Africa",13.8,701,13.6,701,1.2,801,11.7,801,,,13.3,801,10.1,801,92.5,138,96,66,43.3,801
"Ferdowsi University of Mashhad","Iran (Islamic Republic of)",11.1,701,10.9,701,5.7,801,35.1,524,,,9.5,801,12.4,801,74.5,453,12.9,801,33.3,801
